reviewNames,aotyUrls,url,fullName,yearFounded,location
405,http://albumoftheyear.org/ratings/18-the-four-oh-five-highest-rated/2014/1,http://www.thefourohfive.com/,The 405,2008,United Kingdom
A.V.,http://albumoftheyear.org/ratings/12-av-club-highest-rated/2014/1,http://www.avclub.com/music/,The A.V. Club,1993,Chicago
AMG,http://albumoftheyear.org/ratings/8-all-music-highest-rated/2014/1,http://www.allmusic.com/,All Music,1991,San Fransisco/Ann Arbor
CoS,http://albumoftheyear.org/ratings/14-consequence-of-sound-highest-rated/2014/1,http://consequenceofsound.net/,Consequence of Sound,2007,Chicago
DiS,http://albumoftheyear.org/ratings/3-drowned-in-sound-highest-rated/2014/1,http://drownedinsound.com/,Drowned in Sound,2000,United Kingdom
DIY,http://albumoftheyear.org/ratings/25-diy-highest-rated/2014/1,http://diymag.com/,DIY Magazine,2011,London
NME,http://albumoftheyear.org/ratings/9-nme-highest-rated/2014/1,http://www.nme.com/,New Musical Express,1952,London
NoRip,http://albumoftheyear.org/ratings/13-no-ripcord-highest-rated/2014/1,http://www.noripcord.com/,No Ripcord,1999,United Kingdom
OMH,http://albumoftheyear.org/ratings/5-musicomh-highest-rated/2014/1,http://www.musicomh.com/,Music OMH,1999,United Kingdom
P4K,http://albumoftheyear.org/ratings/1-pitchfork-highest-rated/2014/1,http://pitchfork.com/,Pitchfork Media,1995,Chicago
Paste,http://albumoftheyear.org/ratings/11-paste-highest-rated/2014/1,http://www.pastemagazine.com/,Paste,2002,United States
PM,http://albumoftheyear.org/ratings/7-popmatters-highest-rated/2014/1,http://www.popmatters.com/,PopMatters,1999,International
PMA,http://albumoftheyear.org/ratings/23-pretty-much-amazing-highest-rated/2014/1,http://prettymuchamazing.com/,Pretty Much Amazing,,
Radar,http://albumoftheyear.org/ratings/17-under-the-radar-highest-rated/2014/1,http://www.undertheradarmag.com/,Under The Radar,2001,Los Angeles
RS,http://albumoftheyear.org/ratings/35-rolling-stone-highest-rated/2014/1,http://www.rollingstone.com/,Rolling Stone,1967,New York City
Skinny,http://albumoftheyear.org/ratings/31-the-skinny-highest-rated/2014/1,http://www.theskinny.co.uk/,The Skinny,2005,Scotland
Spin,http://albumoftheyear.org/ratings/10-spin-highest-rated/2014/1,http://www.spin.com/,Spin Magazine,1985,New York City
TLOBF,http://albumoftheyear.org/ratings/28-the-line-of-best-fit-highest-rated/2014/1,http://www.thelineofbestfit.com/,The Line of Best Fit,,London
TMT,http://albumoftheyear.org/ratings/4-tiny-mix-tapes-highest-rated/2014/1,http://www.tinymixtapes.com/,Tiny Mix Tapes,2001,Minneapolis
